Unnamed: 0.1,Unnamed: 0,text_id,term_id,text,term,polarity,example1_term_id,example1_prompt,example2_term_id,example2_prompt,example3_term_id,example3_prompt,polarity_pred,prompt_name,prompt,error,structured_analysis,unstructured_analysis
397,397,151,397,"There is nothing else on the menu except for exotic teas and cold beverages, but with a meal this cheap and delightful, who would care?",beverages,negative,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",neutral,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: There is nothing else on the menu except for exotic teas and cold beverages, but with a meal this cheap and delightful, who would care?
Prompt: What is the sentiment in the text towards 'beverages'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""exotic teas"":""0.30""},
{""cold beverages"":""0.30""},
{""cheap and delightful"":""0.40""}]","I made the prediction based on the overall positive sentiment towards the meal and the affordability mentioned in the text. The words ""cheap"" and ""delightful"" indicated a positive sentiment, while the lack of emphasis on the beverages specifically led to a neutral classification."
263,263,99,263,"The meat, onions, and cheese were good as was the roll, but I'd go back if I could forego the sauce.",sauce,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The meat, onions, and cheese were good as was the roll, but I'd go back if I could forego the sauce.
Prompt: What is the sentiment in the text towards 'sauce'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""forego"":""0.7""}, {""good"":""0.3""}]","I made the prediction based on the phrase ""forego the sauce,"" which indicates a negative sentiment towards the sauce. The word ""forego"" suggests a preference to do without the sauce, leading to the conclusion that the sentiment towards the sauce is negative."
110,110,41,110,"The Scene You won't blink twice at the restaurant's spartan decor: As the packed crowds and critics' praises wallpapering the front wall agree, this longtime local favorite is truly one of the area's most exquisite finds.",decor,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",neutral,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The Scene You won't blink twice at the restaurant's spartan decor: As the packed crowds and critics' praises wallpapering the front wall agree, this longtime local favorite is truly one of the area's most exquisite finds.
Prompt: What is the sentiment in the text towards 'decor'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""exquisite"",""importance"":""0.50""},
{""word"":""spartan"",""importance"":""0.50""}
]","I made the prediction based on the words ""spartan decor"" and ""critics' praises."" The term ""spartan decor"" suggests a simple or plain decor, which could be seen as negative. However, the phrase ""critics' praises"" indicates positive feedback, balancing out the sentiment and leading to a neutral classification."
223,223,84,223,"For dessert, go with the delicate, subtle flan over the pasty rice pudding.",rice pudding,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: For dessert, go with the delicate, subtle flan over the pasty rice pudding.
Prompt: What is the sentiment in the text towards 'rice pudding'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""delicate"":""0.30""},
{""subtle"":""0.30""},
{""pasty"":""0.40""}]","I made the prediction based on the comparison between ""delicate, subtle flan"" and ""pasty rice pudding"", where the term ""pasty"" has a negative connotation implying a less desirable texture for the rice pudding. This influenced my decision to classify the sentiment towards ""rice pudding"" as negative."
235,235,89,235,The Scene Hunky waiters dub diners darling and it sounds like they mean it.,Scene,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The Scene Hunky waiters dub diners darling and it sounds like they mean it.
Prompt: What is the sentiment in the text towards 'Scene'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Hunky waiters"": ""0.40""},
{""darling"": ""0.30""},
{""mean it"": ""0.30""}
]","I made the prediction based on the positive words used in the text, such as ""Hunky waiters,"" ""darling,"" and ""sounds like they mean it."" These words indicate a positive sentiment towards the ""Scene."""
53,53,18,53,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,bagel,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
Prompt: What is the sentiment in the text towards 'bagel'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""whole wheat"": ""0.4""}, {""positive"": ""0.6""}]","I made the prediction based on the positive words ""try"", ""olive cream cheese"", ""lox spread"", ""whole wheat"", and ""everything bagel"" in the text. These words indicate a positive sentiment towards the bagel."
189,189,73,189,Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.,place,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.
Prompt: What is the sentiment in the text towards 'place'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""great"",""importance"":""0.50""},
{""word"":""atmosphere"",""importance"":""0.50""}
]","I made the prediction based on the positive sentiment expressed towards the ""place"" in the text. The words ""great atmosphere"" indicate a positive feeling towards the place, leading to the classification of the sentiment as positive."
44,44,15,44,"About 10 of us came here for drinks last friday, the atmosphere was good for chatting and hanging out, but not enough lounge or bar space, they should open up the back area w/ more loungable chairs or booths if they want to catch any after dinner sort of bar crowd.",lounge,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: About 10 of us came here for drinks last friday, the atmosphere was good for chatting and hanging out, but not enough lounge or bar space, they should open up the back area w/ more loungable chairs or booths if they want to catch any after dinner sort of bar crowd.
Prompt: What is the sentiment in the text towards 'lounge'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""not enough"",""importance"":""0.40""},
{""word"":""more loungable chairs or booths"",""importance"":""0.60""}
]","I made the prediction based on the mention of ""not enough lounge or bar space"" and the suggestion to ""open up the back area w/ more loungable chairs or booths."" These phrases indicate a negative sentiment towards the lounge in the text."
92,92,35,92,The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,manager,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.
Prompt: What is the sentiment in the text towards 'manager'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""compensate"": ""0.4""},
{""lack of sophistication"": ""0.6""}
]","I made the prediction based on the phrase ""lack of sophistication from the entire group,"" which indicates a negative sentiment towards the manager."
134,134,51,134,"Our waiter seemed to really care about getting us to the show on time, and made some good reccomendations on the menu for doing it.",menu,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Our waiter seemed to really care about getting us to the show on time, and made some good reccomendations on the menu for doing it.
Prompt: What is the sentiment in the text towards 'menu'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""waiter"": ""0.30""},
{""care"": ""0.20""},
{""recommendations"": ""0.20""},
{""good"": ""0.15""},
{""show on time"": ""0.15""}
]","I made the prediction based on the positive sentiment expressed towards the waiter caring about getting the customers to the show on time and making good recommendations on the menu. The words ""really care,"" ""good recommendations,"" and ""menu"" had a high influence on my decision."
402,402,153,402,"Includes a diverse array of entrees ranging from Boar (prepared in your choice of either the French or Asian tradition), Mussels, or Pad Thai that grace the menu all at once, each one prepared in a distinctly different and delicate sauce.",Mussels,neutral,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",positive,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: Includes a diverse array of entrees ranging from Boar (prepared in your choice of either the French or Asian tradition), Mussels, or Pad Thai that grace the menu all at once, each one prepared in a distinctly different and delicate sauce.
Prompt: What is the sentiment in the text towards 'Mussels'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Mussels"": ""0.70""},
{""sauce"": ""0.30""}
]","I made the prediction based on the positive language used to describe the diverse array of entrees, including Mussels, in the text. The words ""grace the menu,"" ""distinctly different,"" and ""delicate sauce"" all convey a positive sentiment towards the Mussels."
75,75,27,75,"We were so excited since I was reading great review of this place, however we were disappointed with the taste of the food.",food,positive,0,"Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative
",3,"Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral
",9,"Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive
",negative,prompt_single_term_fewshot,"Example 1:
Input: ""The decor is not special at all but their food and amazing prices make up for it.""
Term: decor
Output: negative


Example 2:
Input: ""when tables opened up, the manager sat another party before us.""
Term: tables
Output: neutral


Example 3
Input: ""service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.""
Term: service
Output: positive

    
Task:
Input: We were so excited since I was reading great review of this place, however we were disappointed with the taste of the food.
Prompt: What is the sentiment in the text towards 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""disappointed"":""0.7""}, {""taste"":""0.3""}]","I made the prediction based on the word ""disappointed"" which indicates a negative sentiment towards the food."
