Unnamed: 0,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt,error,structured_analysis,unstructured_analysis
276,106,276,If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.,table,neutral,negative,prompt_3_zeroshot_single_term,"If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.

    What is the sentiment on 'table'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""wait"":""0.40""},
{""long time"":""0.30""},
{""Friday"":""0.15""},
{""Saturday"":""0.15""}
]","I made the prediction based on the context of the sentence, which suggests that waiting for a table at 9pm on a Friday or Saturday night can be time-consuming. The words ""wait 45 minutes for a table"" and ""long time for service"" indicate a negative sentiment associated with the word ""table."""
440,167,440,"Although when I went to eat dinner at Bombay Talkie on a crazy busy night, my waiter was extremely helpful through the menu, polite and polished.",dinner,neutral,positive,prompt_3_zeroshot_single_term,"Although when I went to eat dinner at Bombay Talkie on a crazy busy night, my waiter was extremely helpful through the menu, polite and polished.

    What is the sentiment on 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""helpful"": ""0.30""},
{""polite"": ""0.30""},
{""polished"": ""0.20""},
{""busy"": ""0.20""}
]","I identified the sentiment as positive based on the words ""extremely helpful,"" ""polite,"" and ""polished"" used to describe the waiter's behavior during dinner at Bombay Talkie. These positive descriptors indicate a favorable experience."
231,87,231,Had a mouthwatering sardinian Stuffed Squid and a Catfish fiumarola from Rome( think was capers and anchovies sauce).,Catfish,neutral,positive,prompt_3_zeroshot_single_term,"Had a mouthwatering sardinian Stuffed Squid and a Catfish fiumarola from Rome( think was capers and anchovies sauce).

    What is the sentiment on 'Catfish'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Catfish"": ""0.8""},
{""sauce"": ""0.2""}
]","I made the prediction based on the positive connotations associated with the words ""mouthwatering,"" ""stuffed,"" ""Sardinian,"" and ""Rome."" These words typically evoke a positive sentiment towards food experiences."
308,118,308,"I love Chinese food and have been looking for the alternative to the greasy stuff on every corner of New York- ya, you know, the stinky take-out joints that leave you smelling like dinner for 100 for the rest of the night!",stuff,positive,negative,prompt_3_zeroshot_single_term,"I love Chinese food and have been looking for the alternative to the greasy stuff on every corner of New York- ya, you know, the stinky take-out joints that leave you smelling like dinner for 100 for the rest of the night!

    What is the sentiment on 'stuff'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""greasy"": ""0.70""},
{""stinky"": ""0.30""}
]","I made the prediction based on the negative connotations associated with the words ""greasy stuff,"" ""stinky take-out joints,"" and ""smelling like dinner for 100."" These phrases suggest a negative sentiment towards the subject."
63,22,63,The Food The menu features a wide array of Hawaiian- and Asian-flavored appetizers and entrees.,appetizers,positive,neutral,prompt_3_zeroshot_single_term,"The Food The menu features a wide array of Hawaiian- and Asian-flavored appetizers and entrees.

    What is the sentiment on 'appetizers'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Hawaiian-flavored"": ""0.4""},
{""Asian-flavored"": ""0.4""},
{""wide array"": ""0.2""}
]","I determined the sentiment as neutral based on the lack of specific positive or negative language used to describe the appetizers. The words ""wide array"" suggest variety, which can be seen as positive, but without further context or emotional language, the overall sentiment remains neutral."
221,84,221,"For dessert, go with the delicate, subtle flan over the pasty rice pudding.",dessert,neutral,positive,prompt_3_zeroshot_single_term,"For dessert, go with the delicate, subtle flan over the pasty rice pudding.

    What is the sentiment on 'dessert'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""delicate"": ""0.40""},
{""subtle"": ""0.30""},
{""flan"": ""0.20""},
{""pasty"": ""0.10""}
]","I made the prediction based on the positive connotations associated with the words ""delicate"" and ""subtle"" in relation to flan, as well as the negative connotations associated with the words ""pasty"" in relation to rice pudding."
341,130,341,"Mussels in deeply aromatic lemongrass broth make an excellent starter, as do the light and spicy house samosas.",Mussels,neutral,positive,prompt_3_zeroshot_single_term,"Mussels in deeply aromatic lemongrass broth make an excellent starter, as do the light and spicy house samosas.

    What is the sentiment on 'Mussels'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""aromatic"": ""0.40""},
{""excellent"": ""0.60""}
]","I made the prediction based on the positive adjectives ""excellent"" and ""aromatic"" used to describe the mussels, as well as the positive association with being a starter dish."
245,92,245,Anyway we get a table and order some appetizers from one of the waitresses who was pleasently nice.,appetizers,neutral,positive,prompt_3_zeroshot_single_term,"Anyway we get a table and order some appetizers from one of the waitresses who was pleasently nice.

    What is the sentiment on 'appetizers'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""waitresses"": ""0.4""},
{""pleasantly nice"": ""0.6""}
]","I made the prediction based on the positive words ""order"" and ""pleasantly nice"" used to describe the waitress and the act of ordering appetizers. These words indicate a positive sentiment towards the appetizers."
8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,neutral,prompt_3_zeroshot_single_term,"My boyfriend and I went one Friday night to find that the place was empty except for one other table.

    What is the sentiment on 'place'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""empty"": ""0.5""},
{""one other table"": ""0.5""}
]","I determined the sentiment as neutral based on the lack of emotional cues or descriptive language in the sentence. The words ""empty"" and ""one other table"" suggest a quiet atmosphere, but do not convey a strong positive or negative sentiment."
389,148,389,Get a pitcher of red or white sangria and choose from a large selection of tapas.,white sangria,neutral,positive,prompt_3_zeroshot_single_term,"Get a pitcher of red or white sangria and choose from a large selection of tapas.

    What is the sentiment on 'white sangria'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""white sangria"":""0.70""},
{""refreshing"":""0.30""}
]","I made the prediction based on the context provided, which indicated a positive association with white sangria due to the request for a pitcher of either red or white sangria and a selection of tapas. The mention of a large selection of tapas suggests a positive and enjoyable dining experience, which likely extends to the choice of white sangria."
408,156,408,"The Food The classic Italian menu gets off to a good start with Queen's famous bread basket, which is loaded with a slew of crunchy, yeasty homemade varieties.",Food,neutral,positive,prompt_3_zeroshot_single_term,"The Food The classic Italian menu gets off to a good start with Queen's famous bread basket, which is loaded with a slew of crunchy, yeasty homemade varieties.

    What is the sentiment on 'Food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Italian"": ""0.30""},
{""crunchy"": ""0.20""},
{""yeasty"": ""0.20""},
{""homemade"": ""0.30""}
]","I made the prediction based on the positive words used to describe the food, such as ""good start,"" ""famous,"" ""crunchy,"" and ""yeasty homemade varieties."" These words indicate a positive sentiment towards the food."
269,102,269,"about 10 minutes apart each, so we were all eating cold eggs by the time we got our food.",food,neutral,negative,prompt_3_zeroshot_single_term,"about 10 minutes apart each, so we were all eating cold eggs by the time we got our food.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""cold eggs"",""0.60""},
{""10 minutes apart"",""0.40""}
]",I made the prediction based on the negative sentiment expressed towards the food being cold and the dissatisfaction of eating cold eggs.
87,32,87,"Great value for the price-- lunch is an even better value, with entree and appetizer for between $8-10 or so.",appetizer,neutral,positive,prompt_3_zeroshot_single_term,"Great value for the price-- lunch is an even better value, with entree and appetizer for between $8-10 or so.

    What is the sentiment on 'appetizer'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""value for the price"":""0.40""},
{""better value"":""0.30""},
{""entree"":""0.20""},
{""appetizer"":""0.10""}
]","I made the prediction based on the words ""great value,"" ""better value,"" and the price range of $8-10 for an entree and appetizer. These words indicate a positive sentiment towards the appetizer."
448,169,448,"The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.",the table,neutral,negative,prompt_3_zeroshot_single_term,"The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.

    What is the sentiment on 'the table'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""server"":""0.40""},
{""pour"":""0.30""},
{""additional"":""0.20""},
{""fish"":""0.10""}
]","I made the prediction based on the negative connotation associated with having to pour wine for oneself from a communal bucket, which implies a lack of attentive service and inconvenience. The words ""had to fish the bottle out of the two-table communal bucket ourselves"" had a high influence on my decision."
283,109,283,We had reservations and when we showed up the manager told us the wait was over 45 mins.,reservations,neutral,negative,prompt_3_zeroshot_single_term,"We had reservations and when we showed up the manager told us the wait was over 45 mins.

    What is the sentiment on 'reservations'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""wait"",""importance"":""0.6""},
{""word"":""over"",""importance"":""0.4""}
]","I made the prediction based on the context provided by the user, where they mentioned having reservations but still experiencing a long wait time. The words ""reservations"" and ""wait over 45 mins"" indicated a negative sentiment towards the reservation experience."
239,90,239,The situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.,dishes,neutral,negative,prompt_3_zeroshot_single_term,"The situation was verified by taking 3 dishes that were over an hour late off the bill and free desserts and coffee but the experience left most of us never wanting to go to the supposed hip cool 66 ever again.

    What is the sentiment on 'dishes'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""late"":""0.70""},
{""never wanting to go again"":""0.30""}
]","I made the prediction based on the negative sentiment expressed towards the dishes being over an hour late, which had a high influence on my decision."
399,152,399,THe bartendars were right on top of getting us our wine and setting up free blue cheese dip and chips for us.,wine,neutral,positive,prompt_3_zeroshot_single_term,"THe bartendars were right on top of getting us our wine and setting up free blue cheese dip and chips for us.

    What is the sentiment on 'wine'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""wine"": ""0.70""},
{""free"": ""0.20""},
{""helpful"": ""0.10""}
]","I made the prediction based on the positive association of ""wine"" with the prompt's mention of bartenders being attentive and providing complimentary blue cheese dip and chips. The words ""wine,"" ""bartenders,"" ""free,"" and ""blue cheese dip"" had a high influence on my decision."
417,158,417,"For lunch, opt for an outstanding, triple-decker roast turkey club or brioche burger with skin-on fries.",skin-on fries,neutral,positive,prompt_3_zeroshot_single_term,"For lunch, opt for an outstanding, triple-decker roast turkey club or brioche burger with skin-on fries.

    What is the sentiment on 'skin-on fries'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""skin-on fries"": ""0.9""},
{""crispy"": ""0.3""},
{""flavorful"": ""0.2""},
{""fresh"": ""0.1""},
{""texture"": ""0.1""}
]","I made the prediction based on the positive connotation associated with ""skin-on fries"" as it implies a more natural and flavorful option compared to regular fries."
247,93,247,"The round pizza doesn't taste as good as I recall, it's still wonderful, but the Sicilian is to die for.",round pizza,negative,neutral,prompt_3_zeroshot_single_term,"The round pizza doesn't taste as good as I recall, it's still wonderful, but the Sicilian is to die for.

    What is the sentiment on 'round pizza'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""round pizza"",""importance"":""0.50""},
{""wonderful"",""importance"":""0.25""},
{""taste"",""importance"":""0.25""}
]","I made my prediction based on the words ""doesn't taste as good as I recall"" which indicates a less positive sentiment compared to the Sicilian pizza mentioned as ""to die for,"" which conveys a very positive sentiment. The comparison between the two pizzas led me to determine a neutral sentiment for the round pizza."
127,49,127,"we live down the street and have eaten here many times for lunch and dinner, and the food is consistently terrific.",lunch,neutral,positive,prompt_3_zeroshot_single_term,"we live down the street and have eaten here many times for lunch and dinner, and the food is consistently terrific.

    What is the sentiment on 'lunch'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""consistent"": ""0.40""},
{""terrific"": ""0.60""}
]","I made the prediction based on the words ""eaten here many times,"" ""food is consistently terrific,"" and ""lunch and dinner."" These words indicate a positive sentiment towards the experience of dining at the restaurant for lunch."
369,140,369,"While the staff was kind and attentive, our waiter never once broke a smile, even when I told him it was my friend's birthday, although he did bring a dessert with a candle at the end of the meal.",dessert,neutral,positive,prompt_3_zeroshot_single_term,"While the staff was kind and attentive, our waiter never once broke a smile, even when I told him it was my friend's birthday, although he did bring a dessert with a candle at the end of the meal.

    What is the sentiment on 'dessert'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[{""word"":""dessert"",""importance"":""1.0""}]","I predicted a positive sentiment for ""dessert"" based on the fact that it was brought with a candle for the friend's birthday, indicating a special gesture and potentially a positive experience for the diners."
338,129,338,"impressive balcony seating and while they forgot to give us the cold appetizers, the waiter and maitre'd more than made up for it by being most accomodating to us.",seating,neutral,positive,prompt_3_zeroshot_single_term,"impressive balcony seating and while they forgot to give us the cold appetizers, the waiter and maitre'd more than made up for it by being most accomodating to us.

    What is the sentiment on 'seating'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""impressive"": ""0.70""},
{""accommodating"": ""0.30""}
]","I made the prediction based on the positive words ""impressive balcony seating"" and ""accommodating waiter and maitre'd."" These words indicated a positive sentiment towards the seating experience."
163,64,163,"So are cooked plates: Marinated Kobe beef practically melts on its skewers, soy-buttered scallops collapse with sweet brine and Chawanmushi custard, quivering in eel-soy broth with black truffles and foie gras, is over the top.",plates,neutral,positive,prompt_3_zeroshot_single_term,"So are cooked plates: Marinated Kobe beef practically melts on its skewers, soy-buttered scallops collapse with sweet brine and Chawanmushi custard, quivering in eel-soy broth with black truffles and foie gras, is over the top.

    What is the sentiment on 'plates'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""Kobe beef"": ""0.30""},
{""scallops"": ""0.20""},
{""Chawanmushi custard"": ""0.20""},
{""eel-soy broth"": ""0.15""},
{""black truffles"": ""0.10""},
{""foie gras"": ""0.05""}
]","I made the prediction based on the positive adjectives used to describe the dishes such as ""melts,"" ""sweet,"" ""quivering,"" and ""over the top."" These words indicate a positive sentiment towards the plates."
143,56,143,"The bill came out to like $100pp, and noone touched their food, and drinks were left untouched because after the first bite/sip you want to never touch it again.",bill,neutral,negative,prompt_3_zeroshot_single_term,"The bill came out to like $100pp, and noone touched their food, and drinks were left untouched because after the first bite/sip you want to never touch it again.

    What is the sentiment on 'bill'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""untouched"",""importance"":""0.4""},
{""word"":""never touch it again"",""importance"":""0.3""},
{""word"":""no one touched their food"",""importance"":""0.3""}
]","I identified the sentiment as negative based on the words ""no one touched their food,"" ""drinks were left untouched,"" and ""after the first bite/sip you want to never touch it again."" These phrases indicate dissatisfaction with the food and drinks, leading to a negative sentiment towards the overall dining experience and the bill."
449,169,449,"The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.",fish,neutral,negative,prompt_3_zeroshot_single_term,"The server came by only once to pour additional wine for the table; the rest of the time, we had to fish the bottle out of the two-table communal bucket ourselves.

    What is the sentiment on 'fish'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""server"",""importance"":""0.3""},
{""word"":""pour"",""importance"":""0.2""},
{""word"":""additional"",""importance"":""0.2""},
{""word"":""wine"",""importance"":""0.2""},
{""word"":""communal"",""importance"":""0.1""}
]","I made the prediction based on the word ""fish"" being used in a negative context, indicating a negative sentiment towards the action of having to retrieve the wine bottle from the communal bucket."
110,41,110,"The Scene You won't blink twice at the restaurant's spartan decor: As the packed crowds and critics' praises wallpapering the front wall agree, this longtime local favorite is truly one of the area's most exquisite finds.",decor,positive,neutral,prompt_3_zeroshot_single_term,"The Scene You won't blink twice at the restaurant's spartan decor: As the packed crowds and critics' praises wallpapering the front wall agree, this longtime local favorite is truly one of the area's most exquisite finds.

    What is the sentiment on 'decor'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""restaurant's spartan decor"":""0.5""},
{""exquisite finds"":""0.5""}
]","I made my prediction based on the words ""exquisite finds"" and ""longtime local favorite,"" which suggest a positive sentiment. However, the word ""spartan"" in reference to the decor indicates a more neutral sentiment."
84,31,84,"Their bagels have the perfect softness to them, but on the outside there's a bit of crispiness to give it a bit of texture.",texture,neutral,positive,prompt_3_zeroshot_single_term,"Their bagels have the perfect softness to them, but on the outside there's a bit of crispiness to give it a bit of texture.

    What is the sentiment on 'texture'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""softness"":""0.40""},
{""crispiness"":""0.40""},
{""perfect"":""0.20""}
]","I made the prediction based on the words ""perfect softness,"" ""bit of crispiness,"" and ""give it a bit of texture,"" which all indicate a positive sentiment towards the texture of the bagels."
32,10,32,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",dish,positive,neutral,prompt_3_zeroshot_single_term,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.

    What is the sentiment on 'dish'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""free"":""0.30""},
{""quality"":""0.40""},
{""attract"":""0.30""}
]","I made the prediction based on the context provided by the user, which indicated that the free dish was not the main factor influencing their opinion of the restaurant. The user mentioned that the quality of food is more important to them, suggesting a neutral sentiment towards the free dish."
75,27,75,"We were so excited since I was reading great review of this place, however we were disappointed with the taste of the food.",food,positive,negative,prompt_3_zeroshot_single_term,"We were so excited since I was reading great review of this place, however we were disappointed with the taste of the food.

    What is the sentiment on 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""taste"":""0.70""},
{""disappointed"":""0.30""}
]","I identified the sentiment as negative based on the words ""disappointed"" and ""taste of the food"" in the user's statement, which indicate a lack of satisfaction with the food quality."
77,28,77,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal).",menu,neutral,negative,prompt_3_zeroshot_single_term,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal).

    What is the sentiment on 'menu'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""price increase"":""0.70""},
{""surprised"":""0.30""}
]","I made the prediction based on the words ""upped their prices"" and ""surprised when my bill came to over $5 more than it used to."" These phrases indicate a negative sentiment towards the menu change."
108,40,108,"The place was so dark, I needed the table candle to read the menu and could not properly see what I was eating.",menu,neutral,negative,prompt_3_zeroshot_single_term,"The place was so dark, I needed the table candle to read the menu and could not properly see what I was eating.

    What is the sentiment on 'menu'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""dark"",""importance"":""0.40""},
{""needed the table candle"",""importance"":""0.30""},
{""could not properly see"",""importance"":""0.30""}
]","I predicted a negative sentiment for ""menu"" based on the context of the sentence, which describes the difficulty in reading the menu due to the darkness of the place. The words ""dark"" and ""could not properly see"" indicate a challenging and unpleasant dining experience, leading to a negative sentiment associated with the menu."
118,45,118,"While the service and setting were average, the food was excellent.",setting,negative,neutral,prompt_3_zeroshot_single_term,"While the service and setting were average, the food was excellent.

    What is the sentiment on 'setting'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""average service"": ""0.30""},
{""excellent food"": ""0.70""}
]","I identified the sentiment as neutral for ""setting"" based on the lack of specific positive or negative language used to describe it in the sentence. The focus was on the food being excellent, while the service and setting were described as average."
40,14,40,"When my brother and I we had too much pizza in New York, we would like to order something else from the menu.",pizza,positive,neutral,prompt_3_zeroshot_single_term,"When my brother and I we had too much pizza in New York, we would like to order something else from the menu.

    What is the sentiment on 'pizza'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""brother"",""importance"":""0.2""},
{""word"":""New York"",""importance"":""0.2""},
{""word"":""order"",""importance"":""0.2""},
{""word"":""menu"",""importance"":""0.2""},
{""word"":""too much"",""importance"":""0.2""}
]","I made the prediction based on the context provided, which indicated that the user and their brother had too much pizza in New York and wanted to order something else from the menu. The phrase ""too much pizza"" suggests a potential negative sentiment towards pizza, while the desire to order something else indicates a neutral sentiment."
378,144,378,"Aside from the fact the maitre de claimed the dining room was 'full', we were seated at a great table overlooking the lobby of the hotel and ordered the 5 course tasting menu.",maitre,neutral,negative,prompt_3_zeroshot_single_term,"Aside from the fact the maitre de claimed the dining room was 'full', we were seated at a great table overlooking the lobby of the hotel and ordered the 5 course tasting menu.

    What is the sentiment on 'maitre'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""word"":""full"",""importance"":""0.40""},
{""word"":""seated"",""importance"":""0.30""},
{""word"":""overlooking"",""importance"":""0.20""},
{""word"":""claimed"",""importance"":""0.10""}
]","I predicted a negative sentiment based on the phrase ""claimed the dining room was 'full',"" which suggests the maitre was not being truthful or accommodating."
78,28,78,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal).",bill,neutral,negative,prompt_3_zeroshot_single_term,"Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal).

    What is the sentiment on 'bill'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""price increase"": ""0.70""},
{""surprised"": ""0.30""}
]","I predicted a negative sentiment for ""bill"" based on the context provided, where the user mentioned being surprised by a higher bill amount. The words ""upped their prices"" and ""surprised"" indicated a negative sentiment towards the bill."
181,70,181,"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.",tomato and onions,neutral,positive,prompt_3_zeroshot_single_term,"The trick to the tomato and onions is ask for it light on the onions, heavy on the tomatoes, order steak for one less person than you have in your party and if the steak is too rare, you can cook the individual pieces more by placing them on the platter around the edges.

    What is the sentiment on 'tomato and onions'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",error,"[
{""tomato"":""0.6""},
{""onions"":""0.4""}
]","I made the prediction based on the positive connotations associated with the words ""light on the onions"" and ""heavy on the tomatoes"" in the context of the food order. These phrases suggest a preference for tomatoes over onions, which indicates a positive sentiment towards tomatoes and onions."
