,text_id,term_id,text,term,polarity,polarity_pred,token_weights
17,6,17,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,main course,neutral,neutral,"the : 0.1599567509788442, eggplant : -0.1426398116386615, was : 0.6756384514067241, awesome : -0.4075389274394272, don : 1.01816170999211, even : 0.37380635437741094, like : 0.40025356483795693, eggplant : -0.1426398116386615, but : 2.041756649529249, my : -0.0024860046636431283, main : 0.31886196174840487, course : -0.011091552786787234, was : 0.6756384514067241, just : 0.16895411391100815, ok : -0.19045933965815257, shrimp : -0.6274265739340852, with : -1.066377583521574, pasta : 0.20984050017394107"
18,6,18,The eggplant parmasean was AWESOME (I don't even like eggplant) but my main course was just ok (shrimp with pasta).,shrimp with pasta,neutral,positive,"the : 0.1599567509788442, eggplant : -0.1426398116386615, was : 0.6756384514067241, awesome : -0.4075389274394272, don : 1.01816170999211, even : 0.37380635437741094, like : 0.40025356483795693, eggplant : -0.1426398116386615, but : 2.041756649529249, my : -0.0024860046636431283, main : 0.31886196174840487, course : -0.011091552786787234, was : 0.6756384514067241, just : 0.16895411391100815, ok : -0.19045933965815257, shrimp : -0.6274265739340852, with : -1.066377583521574, pasta : 0.20984050017394107"
19,7,19,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",wait,negative,negative,"ive : -0.2945337453645926, been : 0.35360906037604023, to : 0.06489666268372277, in : 0.17410305733559264, new : -0.42248408311535507, the : 0.1599567509788442, wait : -0.6531231529058147, is : 0.7334324566786014, long : 0.9767165220084835, hours : 0.6242830194547376, but : 2.041756649529249, the : 0.1599567509788442, food : 0.7708413724540557, and : -1.4714550858778395, service : -0.6849207360502474, more : 0.051931762943816365, than : 0.8885670222495469, makes : -0.024363384086369178, up : 0.3657616299706305, for : -0.3734769200685542, it : 0.25400665821968343"
20,7,20,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",food,positive,positive,"ive : -0.2945337453645926, been : 0.35360906037604023, to : 0.06489666268372277, in : 0.17410305733559264, new : -0.42248408311535507, the : 0.1599567509788442, wait : -0.6531231529058147, is : 0.7334324566786014, long : 0.9767165220084835, hours : 0.6242830194547376, but : 2.041756649529249, the : 0.1599567509788442, food : 0.7708413724540557, and : -1.4714550858778395, service : -0.6849207360502474, more : 0.051931762943816365, than : 0.8885670222495469, makes : -0.024363384086369178, up : 0.3657616299706305, for : -0.3734769200685542, it : 0.25400665821968343"
21,7,21,"Ive been to Jacques-Imo in New Orleans, the wait is long (3+ hours) but the food and service more than makes up for it.",service,positive,negative,"ive : -0.2945337453645926, been : 0.35360906037604023, to : 0.06489666268372277, in : 0.17410305733559264, new : -0.42248408311535507, the : 0.1599567509788442, wait : -0.6531231529058147, is : 0.7334324566786014, long : 0.9767165220084835, hours : 0.6242830194547376, but : 2.041756649529249, the : 0.1599567509788442, food : 0.7708413724540557, and : -1.4714550858778395, service : -0.6849207360502474, more : 0.051931762943816365, than : 0.8885670222495469, makes : -0.024363384086369178, up : 0.3657616299706305, for : -0.3734769200685542, it : 0.25400665821968343"
22,8,22,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,prices,positive,negative,"the : 0.1599567509788442, prices : -0.7043483794044293, weren : 0.9089602006541465, bad : 0.4327697196778746, though : 0.46461391215843534, dinner : 0.06580938608266196, ended : 0.16964397210760554, up : 0.3657616299706305, at : 0.38667932060354876, 80 : 0.32945682926022285, with : -1.066377583521574, tip : 0.28961507972085676, and : -1.4714550858778395, we : -0.3054258736797305, had : 0.18830730092669362, couple : 0.015565294262978402, drinks : 0.24304548432262396, as : -0.17235257237303314, well : -0.985859378377119"
23,8,23,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,dinner,neutral,neutral,"the : 0.1599567509788442, prices : -0.7043483794044293, weren : 0.9089602006541465, bad : 0.4327697196778746, though : 0.46461391215843534, dinner : 0.06580938608266196, ended : 0.16964397210760554, up : 0.3657616299706305, at : 0.38667932060354876, 80 : 0.32945682926022285, with : -1.066377583521574, tip : 0.28961507972085676, and : -1.4714550858778395, we : -0.3054258736797305, had : 0.18830730092669362, couple : 0.015565294262978402, drinks : 0.24304548432262396, as : -0.17235257237303314, well : -0.985859378377119"
24,8,24,The prices weren't bad though - dinner ended up at $80 with tip and we had a couple drinks as well.,tip,neutral,neutral,"the : 0.1599567509788442, prices : -0.7043483794044293, weren : 0.9089602006541465, bad : 0.4327697196778746, though : 0.46461391215843534, dinner : 0.06580938608266196, ended : 0.16964397210760554, up : 0.3657616299706305, at : 0.38667932060354876, 80 : 0.32945682926022285, with : -1.066377583521574, tip : 0.28961507972085676, and : -1.4714550858778395, we : -0.3054258736797305, had : 0.18830730092669362, couple : 0.015565294262978402, drinks : 0.24304548432262396, as : -0.17235257237303314, well : -0.985859378377119"
25,9,25,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",fried catfish,negative,neutral,"ordered : 0.030509662853600114, the : 0.1599567509788442, fried : -0.09852717978266745, which : -0.32382624440112534, had : 0.18830730092669362, very : -0.43624707566788434, little : 0.18970339951665222, to : 0.06489666268372277, no : 1.7366660081154697, seasoning : -0.03538745278416613, the : 0.1599567509788442, yams : -0.05280625654685419, and : -1.4714550858778395, mac : 0.4254661917104228, and : -1.4714550858778395, cheese : -0.1754919695016529, which : -0.32382624440112534, were : 1.1689934909553437, just : 0.16895411391100815, okay : -0.6071971637720825"
26,9,26,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",seasoning,negative,neutral,"ordered : 0.030509662853600114, the : 0.1599567509788442, fried : -0.09852717978266745, which : -0.32382624440112534, had : 0.18830730092669362, very : -0.43624707566788434, little : 0.18970339951665222, to : 0.06489666268372277, no : 1.7366660081154697, seasoning : -0.03538745278416613, the : 0.1599567509788442, yams : -0.05280625654685419, and : -1.4714550858778395, mac : 0.4254661917104228, and : -1.4714550858778395, cheese : -0.1754919695016529, which : -0.32382624440112534, were : 1.1689934909553437, just : 0.16895411391100815, okay : -0.6071971637720825"
27,9,27,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",yams,positive,neutral,"ordered : 0.030509662853600114, the : 0.1599567509788442, fried : -0.09852717978266745, which : -0.32382624440112534, had : 0.18830730092669362, very : -0.43624707566788434, little : 0.18970339951665222, to : 0.06489666268372277, no : 1.7366660081154697, seasoning : -0.03538745278416613, the : 0.1599567509788442, yams : -0.05280625654685419, and : -1.4714550858778395, mac : 0.4254661917104228, and : -1.4714550858778395, cheese : -0.1754919695016529, which : -0.32382624440112534, were : 1.1689934909553437, just : 0.16895411391100815, okay : -0.6071971637720825"
28,9,28,"I ordered the fried catfish, which had very little to no seasoning, the yams, and mac and cheese which were just okay.",mac and cheese,positive,positive,"ordered : 0.030509662853600114, the : 0.1599567509788442, fried : -0.09852717978266745, which : -0.32382624440112534, had : 0.18830730092669362, very : -0.43624707566788434, little : 0.18970339951665222, to : 0.06489666268372277, no : 1.7366660081154697, seasoning : -0.03538745278416613, the : 0.1599567509788442, yams : -0.05280625654685419, and : -1.4714550858778395, mac : 0.4254661917104228, and : -1.4714550858778395, cheese : -0.1754919695016529, which : -0.32382624440112534, were : 1.1689934909553437, just : 0.16895411391100815, okay : -0.6071971637720825"
29,10,29,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",edamame,neutral,positive,"ok : -0.19045933965815257, got : 0.5241633336006611, the : 0.1599567509788442, edamame : -0.0747163495317651, and : -1.4714550858778395, something : -0.21846477005558296, from : -0.5657247889759164, the : 0.1599567509788442, sushi : 0.03777015939758429, chef : -0.22349853116283758, for : -0.3734769200685542, free : -0.9125441598071947, but : 2.041756649529249, the : 0.1599567509788442, quality : -0.2819189405596459, of : -0.6721133239838706, food : 0.7708413724540557, is : 0.7334324566786014, more : 0.051931762943816365, important : 0.10191974429160286, to : 0.06489666268372277, me : 0.3166855568174938, than : 0.8885670222495469, free : -0.9125441598071947, small : 1.65890039137535, dish : 0.18573771936485062, maybe : -0.19272572580799383, that : 0.09505491397152648, why : -0.3352269295052233, the : 0.1599567509788442, restaurant : 0.2618742615691801, gives : -0.3250358246221955, it : 0.25400665821968343, to : 0.06489666268372277, new : -0.42248408311535507, customers : 0.509772103402403"
30,10,30,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",sushi chef,positive,positive,"ok : -0.19045933965815257, got : 0.5241633336006611, the : 0.1599567509788442, edamame : -0.0747163495317651, and : -1.4714550858778395, something : -0.21846477005558296, from : -0.5657247889759164, the : 0.1599567509788442, sushi : 0.03777015939758429, chef : -0.22349853116283758, for : -0.3734769200685542, free : -0.9125441598071947, but : 2.041756649529249, the : 0.1599567509788442, quality : -0.2819189405596459, of : -0.6721133239838706, food : 0.7708413724540557, is : 0.7334324566786014, more : 0.051931762943816365, important : 0.10191974429160286, to : 0.06489666268372277, me : 0.3166855568174938, than : 0.8885670222495469, free : -0.9125441598071947, small : 1.65890039137535, dish : 0.18573771936485062, maybe : -0.19272572580799383, that : 0.09505491397152648, why : -0.3352269295052233, the : 0.1599567509788442, restaurant : 0.2618742615691801, gives : -0.3250358246221955, it : 0.25400665821968343, to : 0.06489666268372277, new : -0.42248408311535507, customers : 0.509772103402403"
31,10,31,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",quality of food,positive,positive,"ok : -0.19045933965815257, got : 0.5241633336006611, the : 0.1599567509788442, edamame : -0.0747163495317651, and : -1.4714550858778395, something : -0.21846477005558296, from : -0.5657247889759164, the : 0.1599567509788442, sushi : 0.03777015939758429, chef : -0.22349853116283758, for : -0.3734769200685542, free : -0.9125441598071947, but : 2.041756649529249, the : 0.1599567509788442, quality : -0.2819189405596459, of : -0.6721133239838706, food : 0.7708413724540557, is : 0.7334324566786014, more : 0.051931762943816365, important : 0.10191974429160286, to : 0.06489666268372277, me : 0.3166855568174938, than : 0.8885670222495469, free : -0.9125441598071947, small : 1.65890039137535, dish : 0.18573771936485062, maybe : -0.19272572580799383, that : 0.09505491397152648, why : -0.3352269295052233, the : 0.1599567509788442, restaurant : 0.2618742615691801, gives : -0.3250358246221955, it : 0.25400665821968343, to : 0.06489666268372277, new : -0.42248408311535507, customers : 0.509772103402403"
32,10,32,"Ok I got the edamame and something from the sushi chef for free, but the quality of food is more important to me than a free small dish (maybe that's why the restaurant gives it to attact new customers.",dish,positive,neutral,"ok : -0.19045933965815257, got : 0.5241633336006611, the : 0.1599567509788442, edamame : -0.0747163495317651, and : -1.4714550858778395, something : -0.21846477005558296, from : -0.5657247889759164, the : 0.1599567509788442, sushi : 0.03777015939758429, chef : -0.22349853116283758, for : -0.3734769200685542, free : -0.9125441598071947, but : 2.041756649529249, the : 0.1599567509788442, quality : -0.2819189405596459, of : -0.6721133239838706, food : 0.7708413724540557, is : 0.7334324566786014, more : 0.051931762943816365, important : 0.10191974429160286, to : 0.06489666268372277, me : 0.3166855568174938, than : 0.8885670222495469, free : -0.9125441598071947, small : 1.65890039137535, dish : 0.18573771936485062, maybe : -0.19272572580799383, that : 0.09505491397152648, why : -0.3352269295052233, the : 0.1599567509788442, restaurant : 0.2618742615691801, gives : -0.3250358246221955, it : 0.25400665821968343, to : 0.06489666268372277, new : -0.42248408311535507, customers : 0.509772103402403"
33,11,33,"While dining on a delicate lamb carpaccio, and grilled skate wing, the owner explained that due to low lunch-time patronage, they may be discontinuing lunch altogether.",dining,neutral,neutral,"while : 0.41545485299894824, dining : -0.3332034301718927, on : -0.13037870958757733, delicate : 0.41481705087644016, lamb : -0.34792297609012535, carpaccio : 0.10013644031222992, and : -1.4714550858778395, grilled : 0.5628690099404604, skate : -0.12669666400229465, the : 0.1599567509788442, owner : -0.5700090282494793, explained : -0.23337547756298072, that : 0.09505491397152648, due : 0.06787509396189975, to : 0.06489666268372277, low : 0.18630988063518658, lunch : 0.36102575037524276, time : -0.10786788689349683, they : 0.25283930947630323, may : -0.05854531616115945, be : 0.3984678234144336, lunch : 0.36102575037524276, altogether : 0.04470922642240153"
34,11,34,"While dining on a delicate lamb carpaccio, and grilled skate wing, the owner explained that due to low lunch-time patronage, they may be discontinuing lunch altogether.",owner,negative,positive,"while : 0.41545485299894824, dining : -0.3332034301718927, on : -0.13037870958757733, delicate : 0.41481705087644016, lamb : -0.34792297609012535, carpaccio : 0.10013644031222992, and : -1.4714550858778395, grilled : 0.5628690099404604, skate : -0.12669666400229465, the : 0.1599567509788442, owner : -0.5700090282494793, explained : -0.23337547756298072, that : 0.09505491397152648, due : 0.06787509396189975, to : 0.06489666268372277, low : 0.18630988063518658, lunch : 0.36102575037524276, time : -0.10786788689349683, they : 0.25283930947630323, may : -0.05854531616115945, be : 0.3984678234144336, lunch : 0.36102575037524276, altogether : 0.04470922642240153"
35,12,35,the service was slow took ten mins to get me a glass of water.,service,negative,negative,"the : 0.1599567509788442, service : -0.6849207360502474, was : 0.6756384514067241, slow : 0.9716973526445742, took : 0.6437041530593963, ten : 0.319708552459637, mins : -0.1777472422632111, to : 0.06489666268372277, get : 0.07166725340833979, me : 0.3166855568174938, glass : 0.3431386614669959, of : -0.6721133239838706, water : 0.7707041602990864"
36,12,36,the service was slow took ten mins to get me a glass of water.,glass,neutral,neutral,"the : 0.1599567509788442, service : -0.6849207360502474, was : 0.6756384514067241, slow : 0.9716973526445742, took : 0.6437041530593963, ten : 0.319708552459637, mins : -0.1777472422632111, to : 0.06489666268372277, get : 0.07166725340833979, me : 0.3166855568174938, glass : 0.3431386614669959, of : -0.6721133239838706, water : 0.7707041602990864"
37,12,37,the service was slow took ten mins to get me a glass of water.,water,neutral,neutral,"the : 0.1599567509788442, service : -0.6849207360502474, was : 0.6756384514067241, slow : 0.9716973526445742, took : 0.6437041530593963, ten : 0.319708552459637, mins : -0.1777472422632111, to : 0.06489666268372277, get : 0.07166725340833979, me : 0.3166855568174938, glass : 0.3431386614669959, of : -0.6721133239838706, water : 0.7707041602990864"
38,13,38,"We preferred to gaze at our burgers while avoiding having to look at the wait staff, but no complaints.",burgers,neutral,neutral,"we : -0.3054258736797305, preferred : 0.08034830174368741, to : 0.06489666268372277, at : 0.38667932060354876, our : 0.05402355815250684, burgers : 0.07902131496853354, while : 0.41545485299894824, having : -0.3676927781782579, to : 0.06489666268372277, look : 0.13330789119707825, at : 0.38667932060354876, the : 0.1599567509788442, wait : -0.6531231529058147, staff : -0.9159157659545786, but : 2.041756649529249, no : 1.7366660081154697, complaints : 0.8155722818309262"
39,13,39,"We preferred to gaze at our burgers while avoiding having to look at the wait staff, but no complaints.",wait staff,negative,negative,"we : -0.3054258736797305, preferred : 0.08034830174368741, to : 0.06489666268372277, at : 0.38667932060354876, our : 0.05402355815250684, burgers : 0.07902131496853354, while : 0.41545485299894824, having : -0.3676927781782579, to : 0.06489666268372277, look : 0.13330789119707825, at : 0.38667932060354876, the : 0.1599567509788442, wait : -0.6531231529058147, staff : -0.9159157659545786, but : 2.041756649529249, no : 1.7366660081154697, complaints : 0.8155722818309262"
