text_id,term_id,text,term,polarity
20,51,"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.",food,positive
20,52,"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.",meal,neutral
21,53,"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",Dinner,neutral
21,54,"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",succulent salmon fillet,positive
21,55,"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",caramelized onions,positive
22,56,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",drinks,neutral
22,57,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",menu,neutral
22,58,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",foods,positive
22,59,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",veggies,neutral
22,60,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",sprouts,positive
22,61,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",beets,positive
23,62,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",table,neutral
23,63,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",drinks,neutral
23,64,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",waiter,negative
24,65,Food is pretty good but the service is horrific.,Food,positive
24,66,Food is pretty good but the service is horrific.,service,negative
25,67,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,hostess,negative
25,68,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,lounge,neutral
25,69,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,seats,neutral
25,70,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,bar,neutral
25,71,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,order,neutral
26,72,"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.",waiter,negative
26,73,"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.",places,positive
27,74,Summary - good food which they rush you through and do everything to up your bill.,food,positive
27,75,Summary - good food which they rush you through and do everything to up your bill.,bill,neutral
28,76,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",bar,neutral
28,77,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",waiters,positive
28,78,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",plates,neutral
28,79,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",dining room,neutral
28,80,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",patio,neutral
29,81,"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.",mexican,positive
29,82,"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.",bar,neutral
30,83,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",server,negative
30,84,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",food,neutral
30,85,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",table,neutral
30,86,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",water,neutral
30,87,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",drinks,neutral
31,88,sushi a big hamburger and good coctails.,sushi,neutral
31,89,sushi a big hamburger and good coctails.,hamburger,positive
32,90,"Go for drinks, but not food it will leave you asking, where's the beef?",drinks,positive
32,91,"Go for drinks, but not food it will leave you asking, where's the beef?",beef,neutral
33,92,Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,reservations,neutral
33,93,Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,host,positive
33,94,Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,waiter,positive
34,95,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",waitstaff,negative
34,96,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",food,neutral
34,97,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",served,neutral
34,98,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",dish,negative
34,99,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",pork chop,negative
34,100,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",lamb,negative
34,101,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",price,neutral
35,102,"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",waiters,negative
35,103,"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",drinks,neutral
35,104,"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",lunch,neutral
35,105,"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",service,negative
36,106,"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",waiter,negative
36,107,"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",lights,neutral
37,108,"The portions are not HUGE, but you are very full by the end of your meal.",portions,negative
37,109,"The portions are not HUGE, but you are very full by the end of your meal.",meal,neutral
38,110,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",coffee,neutral
38,111,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",tea,neutral
38,112,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",cream,neutral
38,113,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",dessert,neutral
38,114,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",chinese chocolat,positive
39,115,"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!",food,negative
39,116,"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!",Seinfeld,neutral
40,117,"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",prime dinner,neutral
40,118,"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",crowds,neutral
40,119,"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",waiting,neutral
40,120,"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",service,negative
41,121,"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",drinks,neutral
41,122,"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",desserts,neutral
41,123,"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",chocolate cake,positive
41,124,"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",cheesecake,positive
42,125,"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",food,positive
42,126,"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",soft shell crab appetizer,negative
42,127,"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",cod,positive
43,128,I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,place,negative
43,129,I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,atmosphere,neutral
44,130,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.",hostess,positive
44,131,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.",drinks,neutral
45,132,"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.",waiter,positive
45,133,"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.",glass of water,neutral
46,134,The whole table must participate and you have to be willing to let the chef cook for you with no menu.,whole table,positive
46,135,The whole table must participate and you have to be willing to let the chef cook for you with no menu.,chef,positive
46,136,The whole table must participate and you have to be willing to let the chef cook for you with no menu.,menu,neutral
47,137,"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",food,positive
47,138,"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",portions,negative
47,139,"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",service,negative
48,140,The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,spices,negative
48,141,The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,oil,neutral
49,142,"The decor in the dinin room is a bit bland, but the service is always friendly.",decor,negative
49,143,"The decor in the dinin room is a bit bland, but the service is always friendly.",dinin room,neutral
49,144,"The decor in the dinin room is a bit bland, but the service is always friendly.",service,positive
50,145,"Don't go for the decor or the location, go for the food!",decor,negative
50,146,"Don't go for the decor or the location, go for the food!",location,negative
50,147,"Don't go for the decor or the location, go for the food!",food,positive
51,148,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,sides,positive
51,149,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,Lugers,neutral
51,150,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,bacon,positive
51,151,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,steak,negative
51,152,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,priced,negative
52,153,"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.",dessert,neutral
52,154,"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.",waitress,negative
53,155,The waitress came to our table and told us about their tempting specials.,waitress,positive
53,156,The waitress came to our table and told us about their tempting specials.,table,neutral
53,157,The waitress came to our table and told us about their tempting specials.,specials,positive
54,158,"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.",chicken vindaloo,neutral
54,159,"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.",cost,negative
55,160,"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!",burgers,negative
55,161,"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!",secret hickory sauce,neutral
56,162,"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",breakfast,positive
56,163,"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",eggs,neutral
57,164,"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!",menu,neutral
57,165,"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!",prices,positive
58,166,The waiter set down my companion's meal and didn't return with my dish for some time.,waiter,negative
58,167,The waiter set down my companion's meal and didn't return with my dish for some time.,meal,neutral
58,168,The waiter set down my companion's meal and didn't return with my dish for some time.,dish,neutral
59,169,"There are decent selections if you are a seafood person, but not a lot if you aren't!",selections,negative
59,170,"There are decent selections if you are a seafood person, but not a lot if you aren't!",seafood,neutral
60,171,"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",appetizers,neutral
60,172,"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",wine list,positive
60,173,"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",entrees,positive
61,174,"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",food,positive
61,175,"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",priced,positive
61,176,"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",wait staff,positive
61,177,"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",entree,neutral
62,178,"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",menu,neutral
62,179,"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",baby back ribs,positive
62,180,"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",red-beef chili,positive
62,181,"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",deep-fried onions,positive
63,182,"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",Melissa,positive
63,183,"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",food,positive
63,184,"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",pastries,positive
63,185,"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",experience,negative
64,186,The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,bean burritos,positive
64,187,The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,beans,neutral
65,188,"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.",drinks,positive
65,189,"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.",wines by the glass to,neutral
66,190,"The first time, the food was decent for lunch, but remember mediocre service.",lunch,neutral
66,191,"The first time, the food was decent for lunch, but remember mediocre service.",service,negative
67,192,Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,waitress,negative
67,193,Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,wine,neutral
68,194,"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",jerked chicken dinner,positive
68,195,"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",service,negative
68,196,"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",food,neutral
69,197,I often go to ISE for lunch and I am always very happy with the food.,lunch,neutral
69,198,I often go to ISE for lunch and I am always very happy with the food.,food,positive
70,199,"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",dinner,neutral
70,200,"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",food,positive
70,201,"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",priced,positive
71,202,Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,food,positive
71,203,Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,check,neutral
72,204,"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.",appetizers,negative
72,205,"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.",served,neutral
73,206,"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",appetizer,neutral
73,207,"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",duck,positive
73,208,"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",dessert,neutral
74,209,Food other than sushi is also very nice.,Food,positive
74,210,Food other than sushi is also very nice.,sushi,negative
75,211,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions,negative
75,212,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
76,213,Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,waiter,positive
76,214,Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,ingredients,neutral
77,215,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",place,negative
77,216,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",menus,neutral
78,217,"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",dessert,neutral
78,218,"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",baklava,positive
78,219,"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",chocolate mousse cake,positive
78,220,"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",strawberry shortcake,positive
79,221,"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",Sushi,neutral
79,222,"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",dish,neutral
79,223,"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",menu,positive
80,224,"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",Italian food,positive
80,225,"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",pasta dishes,negative
80,226,"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",service,positive
81,227,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,positive
81,228,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,neutral
81,229,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,positive
82,230,"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.",portions,negative
82,231,"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.",appetizers,neutral
83,232,"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.",appetizers,positive
83,233,"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.",lobster rolls and poached shrimp,neutral
84,234,"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.",waitstaff,negative
84,235,"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.",meal,neutral
85,236,"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",crab and roasted red pepper dip,neutral
85,237,"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",beef,neutral
85,238,"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",appetizers,neutral
85,239,"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",worldly cuisine,positive
86,240,Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,Service,neutral
86,241,Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,food,positive
87,242,I went there for lunch with co-workers and found the service to be prompt and very friendly.,lunch,neutral
87,243,I went there for lunch with co-workers and found the service to be prompt and very friendly.,service,positive
88,244,I went for lunch and the staff does not welcome you upon entering.,lunch,neutral
