text,aspect_terms
"Three course meal for lunch was $13, the prices for dinner were just as great!","{'from': [6, 22, 41, 52], 'to': [17, 27, 47, 58], 'polarity': ['neutral', 'neutral', 'positive', 'neutral'], 'term': ['course meal', 'lunch', 'prices', 'dinner']}"
"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.","{'from': [108, 139], 'to': [112, 142], 'polarity': ['neutral', 'positive'], 'term': ['wine', 'eat']}"
"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.","{'from': [4, 32, 115], 'to': [11, 36, 119], 'polarity': ['positive', 'positive', 'negative'], 'term': ['service', 'menu', 'food']}"
"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.","{'from': [9, 49], 'to': [16, 59], 'polarity': ['neutral', 'negative'], 'term': ['entrees', 'waitresses']}"
"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.","{'from': [35, 68, 152], 'to': [40, 80, 158], 'polarity': ['neutral', 'neutral', 'negative'], 'term': ['table', 'reservations', 'owners']}"
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.","{'from': [4, 26, 51, 109], 'to': [8, 44, 84, 131], 'polarity': ['neutral', 'positive', 'neutral', 'neutral'], 'term': ['menu', 'French bistro fare', 'steamed mussels with French fries', 'green peppercorn sauce']}"
The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,"{'from': [4, 153], 'to': [9, 157], 'polarity': ['neutral', 'positive'], 'term': ['Scene', 'spot']}"
Get in before peak dinner time (7-8 PM) to avoid harried service.,"{'from': [19, 57], 'to': [25, 64], 'polarity': ['neutral', 'negative'], 'term': ['dinner', 'service']}"
"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.","{'from': [28, 59], 'to': [32, 63], 'polarity': ['positive', 'neutral'], 'term': ['food', 'meal']}"
"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.","{'from': [0, 26, 138], 'to': [6, 49, 156], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['Dinner', 'succulent salmon fillet', 'caramelized onions']}"
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.","{'from': [4, 84, 115, 138, 183, 201], 'to': [10, 88, 120, 145, 190, 206], 'polarity': ['neutral', 'neutral', 'positive', 'neutral', 'positive', 'positive'], 'term': ['drinks', 'menu', 'foods', 'veggies', 'sprouts', 'beets']}"
"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.","{'from': [21, 98, 112], 'to': [26, 104, 118], 'polarity': ['neutral', 'neutral', 'negative'], 'term': ['table', 'drinks', 'waiter']}"
Food is pretty good but the service is horrific.,"{'from': [0, 28], 'to': [4, 35], 'polarity': ['positive', 'negative'], 'term': ['Food', 'service']}"
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,"{'from': [4, 40, 65, 78, 139], 'to': [11, 46, 70, 81, 144], 'polarity': ['negative', 'neutral', 'neutral', 'neutral', 'neutral'], 'term': ['hostess', 'lounge', 'seats', 'bar', 'order']}"
"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.","{'from': [15, 157], 'to': [21, 163], 'polarity': ['negative', 'positive'], 'term': ['waiter', 'places']}"
Summary - good food which they rush you through and do everything to up your bill.,"{'from': [15, 77], 'to': [19, 81], 'polarity': ['positive', 'neutral'], 'term': ['food', 'bill']}"
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.","{'from': [36, 50, 64, 90, 122], 'to': [39, 57, 70, 101, 127], 'polarity': ['neutral', 'positive', 'neutral', 'neutral', 'neutral'], 'term': ['bar', 'waiters', 'plates', 'dining room', 'patio']}"
"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.","{'from': [28, 48], 'to': [35, 51], 'polarity': ['positive', 'neutral'], 'term': ['mexican', 'bar']}"
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.","{'from': [4, 48, 69, 106, 113], 'to': [10, 52, 74, 111, 119], 'polarity': ['negative', 'neutral', 'neutral', 'neutral', 'neutral'], 'term': ['server', 'food', 'table', 'water', 'drinks']}"
sushi a big hamburger and good coctails.,"{'from': [0, 12], 'to': [5, 21], 'polarity': ['neutral', 'positive'], 'term': ['sushi', 'hamburger']}"
"Go for drinks, but not food it will leave you asking, where's the beef?","{'from': [7, 66], 'to': [13, 70], 'polarity': ['positive', 'neutral'], 'term': ['drinks', 'beef']}"
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,"{'from': [8, 119, 131], 'to': [20, 123, 137], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['reservations', 'host', 'waiter']}"
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.","{'from': [8, 51, 62, 82, 157, 181, 250], 'to': [17, 55, 68, 86, 166, 185, 255], 'polarity': ['negative', 'neutral', 'neutral', 'negative', 'negative', 'negative', 'neutral'], 'term': ['waitstaff', 'food', 'served', 'dish', 'pork chop', 'lamb', 'price']}"
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).","{'from': [3, 122, 217, 271], 'to': [10, 128, 222, 278], 'polarity': ['negative', 'neutral', 'neutral', 'negative'], 'term': ['waiters', 'drinks', 'lunch', 'service']}"
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!","{'from': [21, 42], 'to': [27, 48], 'polarity': ['negative', 'neutral'], 'term': ['waiter', 'lights']}"
"The portions are not HUGE, but you are very full by the end of your meal.","{'from': [4, 68], 'to': [12, 72], 'polarity': ['negative', 'neutral'], 'term': ['portions', 'meal']}"
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.","{'from': [30, 41, 93, 157, 235], 'to': [36, 44, 98, 164, 251], 'polarity': ['neutral', 'neutral', 'neutral', 'neutral', 'positive'], 'term': ['coffee', 'tea', 'cream', 'dessert', 'chinese chocolat']}"
"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!","{'from': [105, 140], 'to': [109, 148], 'polarity': ['negative', 'neutral'], 'term': ['food', 'Seinfeld']}"
"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.","{'from': [53, 147, 155, 171], 'to': [65, 153, 162, 178], 'polarity': ['neutral', 'neutral', 'neutral', 'negative'], 'term': ['prime dinner', 'crowds', 'waiting', 'service']}"
"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.","{'from': [11, 44, 73, 132], 'to': [17, 52, 87, 142], 'polarity': ['neutral', 'neutral', 'positive', 'positive'], 'term': ['drinks', 'desserts', 'chocolate cake', 'cheesecake']}"
"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.","{'from': [4, 71, 202], 'to': [8, 96, 205], 'polarity': ['positive', 'negative', 'positive'], 'term': ['food', 'soft shell crab appetizer', 'cod']}"
I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,"{'from': [83, 93], 'to': [88, 103], 'polarity': ['negative', 'neutral'], 'term': ['place', 'atmosphere']}"
"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.","{'from': [41, 75], 'to': [48, 81], 'polarity': ['positive', 'neutral'], 'term': ['hostess', 'drinks']}"
"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.","{'from': [4, 72], 'to': [10, 86], 'polarity': ['positive', 'neutral'], 'term': ['waiter', 'glass of water']}"
The whole table must participate and you have to be willing to let the chef cook for you with no menu.,"{'from': [4, 71, 97], 'to': [15, 75, 101], 'polarity': ['positive', 'positive', 'neutral'], 'term': ['whole table', 'chef', 'menu']}"
"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.","{'from': [6, 21, 46], 'to': [10, 29, 53], 'polarity': ['positive', 'negative', 'negative'], 'term': ['food', 'portions', 'service']}"
The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,"{'from': [79, 165], 'to': [85, 168], 'polarity': ['negative', 'neutral'], 'term': ['spices', 'oil']}"
"The decor in the dinin room is a bit bland, but the service is always friendly.","{'from': [4, 17, 52], 'to': [9, 27, 59], 'polarity': ['negative', 'neutral', 'positive'], 'term': ['decor', 'dinin room', 'service']}"
"Don't go for the decor or the location, go for the food!","{'from': [17, 30, 51], 'to': [22, 38, 55], 'polarity': ['negative', 'negative', 'positive'], 'term': ['decor', 'location', 'food']}"
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,"{'from': [13, 22, 48, 80, 98], 'to': [18, 28, 53, 85, 104], 'polarity': ['positive', 'neutral', 'positive', 'negative', 'negative'], 'term': ['sides', 'Lugers', 'bacon', 'steak', 'priced']}"
"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.","{'from': [28, 64], 'to': [35, 72], 'polarity': ['neutral', 'negative'], 'term': ['dessert', 'waitress']}"
The waitress came to our table and told us about their tempting specials.,"{'from': [4, 25, 64], 'to': [12, 30, 72], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['waitress', 'table', 'specials']}"
"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.","{'from': [10, 68], 'to': [26, 72], 'polarity': ['neutral', 'negative'], 'term': ['chicken vindaloo', 'cost']}"
"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!","{'from': [53, 141], 'to': [60, 161], 'polarity': ['negative', 'neutral'], 'term': ['burgers', 'secret hickory sauce']}"
"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?","{'from': [22, 93], 'to': [31, 97], 'polarity': ['positive', 'neutral'], 'term': ['breakfast', 'eggs']}"
"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!","{'from': [20, 29], 'to': [24, 35], 'polarity': ['neutral', 'positive'], 'term': ['menu', 'prices']}"
The waiter set down my companion's meal and didn't return with my dish for some time.,"{'from': [4, 35, 66], 'to': [10, 39, 70], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['waiter', 'meal', 'dish']}"
"There are decent selections if you are a seafood person, but not a lot if you aren't!","{'from': [17, 41], 'to': [27, 48], 'polarity': ['negative', 'neutral'], 'term': ['selections', 'seafood']}"
"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.","{'from': [9, 60, 88], 'to': [19, 69, 95], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['appetizers', 'wine list', 'entrees']}"
"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.","{'from': [4, 37, 77, 135], 'to': [8, 43, 87, 141], 'polarity': ['positive', 'positive', 'positive', 'neutral'], 'term': ['food', 'priced', 'wait staff', 'entree']}"
"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.","{'from': [4, 81, 117, 136], 'to': [8, 95, 131, 153], 'polarity': ['neutral', 'positive', 'positive', 'positive'], 'term': ['menu', 'baby back ribs', 'red-beef chili', 'deep-fried onions']}"
"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.","{'from': [15, 25, 34, 104], 'to': [22, 29, 42, 114], 'polarity': ['positive', 'positive', 'positive', 'negative'], 'term': ['Melissa', 'food', 'pastries', 'experience']}"
The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,"{'from': [4, 101], 'to': [17, 106], 'polarity': ['positive', 'neutral'], 'term': ['bean burritos', 'beans']}"
"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.","{'from': [4, 64], 'to': [10, 85], 'polarity': ['positive', 'neutral'], 'term': ['drinks', 'wines by the glass to']}"
"The first time, the food was decent for lunch, but remember mediocre service.","{'from': [40, 69], 'to': [45, 76], 'polarity': ['neutral', 'negative'], 'term': ['lunch', 'service']}"
Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,"{'from': [4, 88], 'to': [12, 92], 'polarity': ['negative', 'neutral'], 'term': ['waitress', 'wine']}"
"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.","{'from': [22, 79, 111], 'to': [43, 86, 115], 'polarity': ['positive', 'negative', 'neutral'], 'term': ['jerked chicken dinner', 'service', 'food']}"
I often go to ISE for lunch and I am always very happy with the food.,"{'from': [22, 64], 'to': [27, 68], 'polarity': ['neutral', 'positive'], 'term': ['lunch', 'food']}"
"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.","{'from': [21, 55, 95], 'to': [27, 59, 101], 'polarity': ['neutral', 'positive', 'positive'], 'term': ['dinner', 'food', 'priced']}"
Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,"{'from': [4, 83], 'to': [8, 88], 'polarity': ['positive', 'neutral'], 'term': ['food', 'check']}"
"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.","{'from': [25, 41], 'to': [35, 47], 'polarity': ['negative', 'neutral'], 'term': ['appetizers', 'served']}"
"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.","{'from': [22, 61, 95], 'to': [31, 65, 102], 'polarity': ['neutral', 'positive', 'neutral'], 'term': ['appetizer', 'duck', 'dessert']}"
Food other than sushi is also very nice.,"{'from': [0, 16], 'to': [4, 21], 'polarity': ['positive', 'negative'], 'term': ['Food', 'sushi']}"
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.","{'from': [4, 92], 'to': [12, 99], 'polarity': ['negative', 'positive'], 'term': ['portions', 'service']}"
Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,"{'from': [4, 44], 'to': [10, 55], 'polarity': ['positive', 'neutral'], 'term': ['waiter', 'ingredients']}"
"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","{'from': [4, 79], 'to': [9, 84], 'polarity': ['negative', 'neutral'], 'term': ['place', 'menus']}"
"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.","{'from': [4, 29, 38, 61], 'to': [11, 36, 59, 81], 'polarity': ['neutral', 'positive', 'positive', 'positive'], 'term': ['dessert', 'baklava', 'chocolate mousse cake', 'strawberry shortcake']}"
"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.","{'from': [27, 83, 118], 'to': [32, 87, 122], 'polarity': ['neutral', 'neutral', 'positive'], 'term': ['Sushi', 'dish', 'menu']}"
"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.","{'from': [69, 121, 192], 'to': [81, 133, 199], 'polarity': ['positive', 'negative', 'positive'], 'term': ['Italian food', 'pasta dishes', 'service']}"
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,"{'from': [33, 43, 61], 'to': [38, 53, 65], 'polarity': ['positive', 'neutral', 'positive'], 'term': ['shows', 'characters', 'food']}"
"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.","{'from': [110, 135], 'to': [118, 145], 'polarity': ['negative', 'neutral'], 'term': ['portions', 'appetizers']}"
"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.","{'from': [24, 60], 'to': [34, 92], 'polarity': ['positive', 'neutral'], 'term': ['appetizers', 'lobster rolls and poached shrimp']}"
"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.","{'from': [62, 130], 'to': [71, 134], 'polarity': ['negative', 'neutral'], 'term': ['waitstaff', 'meal']}"
"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.","{'from': [9, 54, 76, 120], 'to': [40, 58, 86, 135], 'polarity': ['neutral', 'neutral', 'neutral', 'positive'], 'term': ['crab and roasted red pepper dip', 'beef', 'appetizers', 'worldly cuisine']}"
Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,"{'from': [0, 83], 'to': [7, 87], 'polarity': ['neutral', 'positive'], 'term': ['Service', 'food']}"
I went there for lunch with co-workers and found the service to be prompt and very friendly.,"{'from': [17, 53], 'to': [22, 60], 'polarity': ['neutral', 'positive'], 'term': ['lunch', 'service']}"
I went for lunch and the staff does not welcome you upon entering.,"{'from': [11, 25], 'to': [16, 30], 'polarity': ['neutral', 'negative'], 'term': ['lunch', 'staff']}"
"There are specials and it's the kind of place sure to please, whether you're seated at the window near the bar or in the outdoor (covered heated when needed) garden in the rear.","{'from': [40, 107], 'to': [45, 110], 'polarity': ['positive', 'neutral'], 'term': ['place', 'bar']}"
"The Food A good way to judge a Thai spot is by its green curry: The all-Thai staff here fashions it spicy and smooth, filled to bursting with meat and thin-sliced bamboo shoots.","{'from': [4, 51, 77, 142, 170], 'to': [8, 62, 82, 146, 176], 'polarity': ['neutral', 'neutral', 'neutral', 'neutral', 'positive'], 'term': ['Food', 'green curry', 'staff', 'meat', 'shoots']}"
"The food is right out of heaven, arrive hungry because the portions are huge but not the prices.","{'from': [4, 59, 89], 'to': [8, 67, 95], 'polarity': ['positive', 'positive', 'negative'], 'term': ['food', 'portions', 'prices']}"
"Even at lunch, when lawyers and publishers flock in to wheel and deal over the justly-popular lunch buffet, the atmosphere remains serene.","{'from': [79, 112], 'to': [106, 122], 'polarity': ['neutral', 'positive'], 'term': ['justly-popular lunch buffet', 'atmosphere']}"
And to end the meal try some hazelnut gelato.,"{'from': [15, 38], 'to': [19, 44], 'polarity': ['neutral', 'positive'], 'term': ['meal', 'gelato']}"
"The menu showcases Thai-French favorites: fresh chopped hai (white fish) and salmon with Chinese black olives and basil oil; mussels in coconut-lemon grass broth; and garlicky octopus sauteed with ground pork, broccoli rabe and lime juice.","{'from': [4, 48, 176, 219, 228], 'to': [8, 72, 208, 223, 238], 'polarity': ['neutral', 'positive', 'positive', 'neutral', 'neutral'], 'term': ['menu', 'chopped hai (white fish)', 'octopus sauteed with ground pork', 'rabe', 'lime juice']}"
"From having an appetizer, a glass of wine and reading a magazine to sitting by a table to work on my grades, to meeting other fellow teachers for a book club to partying with the owners all my experiences at Futura have always been extremely postive!","{'from': [15, 28, 81, 179], 'to': [24, 41, 86, 185], 'polarity': ['neutral', 'neutral', 'neutral', 'positive'], 'term': ['appetizer', 'glass of wine', 'table', 'owners']}"
Please try to order a dish that is served with the corn cake.,"{'from': [22, 51], 'to': [26, 60], 'polarity': ['positive', 'neutral'], 'term': ['dish', 'corn cake']}"
This past Memorial day weekend was hot and I asked the waiter why was the air condition not working and he responded doens't know why.,"{'from': [55, 74], 'to': [61, 77], 'polarity': ['negative', 'neutral'], 'term': ['waiter', 'air']}"
The place was practically empty when my friends and I got there for dinner.,"{'from': [4, 68], 'to': [9, 74], 'polarity': ['negative', 'neutral'], 'term': ['place', 'dinner']}"
"The wine list is short and the wine glasses suck (not spigleau or riedel, in addition they are small for the big italian wines on the menu).","{'from': [4, 113, 134], 'to': [13, 126, 138], 'polarity': ['negative', 'positive', 'neutral'], 'term': ['wine list', 'italian wines', 'menu']}"
Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,"{'from': [25, 124], 'to': [31, 131], 'polarity': ['positive', 'negative'], 'term': ['drinks', 'service']}"
We ate here once and the waiter was very aggressive about pushing the specials instead of what was on the menu.,"{'from': [25, 106], 'to': [31, 110], 'polarity': ['negative', 'neutral'], 'term': ['waiter', 'menu']}"
On the table you will also find individual bottles of fine imported olive oil which we put on the bread-fantastic!,"{'from': [7, 68], 'to': [12, 77], 'polarity': ['neutral', 'positive'], 'term': ['table', 'olive oil']}"
Our group of 8 had about five small plates that we thought were the best on the menu.,"{'from': [36, 80], 'to': [42, 84], 'polarity': ['positive', 'neutral'], 'term': ['plates', 'menu']}"
the bread they served as we sat down had a pastry-like crunch on the outside and still warm.,"{'from': [4, 15], 'to': [9, 21], 'polarity': ['positive', 'neutral'], 'term': ['bread', 'served']}"
Buffet fare is better than the regular menu and you don't have to deal with the waitstaff.,"{'from': [39, 80], 'to': [43, 89], 'polarity': ['neutral', 'negative'], 'term': ['menu', 'waitstaff']}"
The chef insisted that the meat was cooked properly!?,"{'from': [4, 27], 'to': [8, 31], 'polarity': ['negative', 'positive'], 'term': ['chef', 'meat']}"
"With some good sake, I tried the salmon, yellowtail, king crab, eel (thought this would turn my stomach), red white tuna.","{'from': [15, 33], 'to': [19, 39], 'polarity': ['positive', 'neutral'], 'term': ['sake', 'salmon']}"
"I have had some bad meals in my day, but the way we were treated here, takes the cake.","{'from': [20, 81], 'to': [25, 85], 'polarity': ['negative', 'neutral'], 'term': ['meals', 'cake']}"
" Staple entrees like moussaka more than make the grade, but the selection of clay pot-cooked dishes--tender lamb with orzo, or fish of the day with eggplant and zucchini--take comfort food to a new level.","{'from': [8, 108, 127, 148, 176], 'to': [15, 122, 131, 169, 188], 'polarity': ['neutral', 'positive', 'neutral', 'neutral', 'positive'], 'term': ['entrees', 'lamb with orzo', 'fish', 'eggplant and zucchini', 'comfort food']}"
This pizza is the BEST anywhere for grandma slices!,"{'from': [5, 36], 'to': [10, 50], 'polarity': ['positive', 'neutral'], 'term': ['pizza', 'grandma slices']}"
"My date and I were excited to go, and didn't even mind the 25 minute wait (EVEN WITH OUR RESERVATION) to get a table.","{'from': [69, 89, 111], 'to': [73, 100, 116], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['wait', 'RESERVATION', 'table']}"
"Well on a friday or sat, i think this place should take reservations as it gets pretty busy.","{'from': [38, 56], 'to': [43, 68], 'polarity': ['negative', 'neutral'], 'term': ['place', 'reservations']}"
"Unfortunately, our waiter set quite a different tone; he disappeared until the end of our meal, when we had to beg for coffees and desserts.","{'from': [19, 90, 131], 'to': [25, 94, 139], 'polarity': ['negative', 'neutral', 'neutral'], 'term': ['waiter', 'meal', 'desserts']}"
"the manager will be very defensive and tell you the chef, his brother, has not changed in 4 years.","{'from': [4, 52], 'to': [11, 56], 'polarity': ['negative', 'neutral'], 'term': ['manager', 'chef']}"
"The food is consistantly great, but the wait is often long and the noise is often deafening.","{'from': [4, 40], 'to': [8, 44], 'polarity': ['positive', 'negative'], 'term': ['food', 'wait']}"
the most expensive dish on the menu was $14!!!,"{'from': [19, 31], 'to': [23, 35], 'polarity': ['negative', 'neutral'], 'term': ['dish', 'menu']}"
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,"{'from': [4, 54, 114], 'to': [11, 58, 120], 'polarity': ['neutral', 'neutral', 'negative'], 'term': ['manager', 'menu', 'waiter']}"
"They also have great vegearian sushi options, try the AAC (avocado, asparagus and cucumber) roll!","{'from': [31, 68], 'to': [44, 90], 'polarity': ['positive', 'neutral'], 'term': ['sushi options', 'asparagus and cucumber']}"
"The food was very good, especially for the Restaurant Week menu price, although it seemed like the 'hits' would be the ceviche and other small dishes that weren't part of the menu.","{'from': [4, 119, 143], 'to': [8, 126, 149], 'polarity': ['positive', 'neutral', 'negative'], 'term': ['food', 'ceviche', 'dishes']}"
For dinner: I always go for the fish and it's always cooked just right.,"{'from': [4, 32], 'to': [10, 36], 'polarity': ['neutral', 'positive'], 'term': ['dinner', 'fish']}"
When the hostess finally appears she tells me that she can't seat us on the mostly empty patio because all the open tables are for dinner not drinks.,"{'from': [9, 89, 111, 131, 142], 'to': [16, 94, 122, 137, 148], 'polarity': ['negative', 'neutral', 'neutral', 'neutral', 'neutral'], 'term': ['hostess', 'patio', 'open tables', 'dinner', 'drinks']}"
An amazing combination of a place to sit down with the family and have a good time or have a drink at the bar with some friends.,"{'from': [28, 93, 106], 'to': [33, 98, 109], 'polarity': ['positive', 'neutral', 'neutral'], 'term': ['place', 'drink', 'bar']}"
My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,"{'from': [3, 33, 83, 111], 'to': [16, 56, 88, 116], 'polarity': ['neutral', 'neutral', 'positive', 'positive'], 'term': ['prefix dinner', 'garlic shrimp appetizer', 'steak', 'fries']}"
"Deborah, the chef and co-owner, is an extraordinary talent - she has not received the notoriety she deserves - and her food, while not expensive, really merits a two or three star rating.","{'from': [13, 119], 'to': [17, 123], 'polarity': ['positive', 'neutral'], 'term': ['chef', 'food']}"
