Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,prediction,prompt,prompt_name,model_name,error,structured_analysis,unstructured_analysis
10,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0,2500000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Volvo V40 D3 R-Design,
year: 2018,
km_driven: 2000,
fuel: Diesel,
seller_type: Dealer,
transmission: Automatic,
owner: First Owner,
mileage: 16.8 kmpl,
engine: 1984 CC,
max_power: 150 bhp,
torque: 350Nm@ 1500-2750rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.25"",""value"":""2018""},
{""attribute"":""km_driven"",""importance"":""0.20"",""value"":""2000""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Diesel""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Automatic""},
{""attribute"":""mileage"",""importance"":""0.10"",""value"":""16.8 kmpl""},
{""attribute"":""engine"",""importance"":""0.15"",""value"":""1984 CC""}
]","I made the prediction based on the year, low mileage, diesel fuel type, automatic transmission, and the car being a first owner. These attributes typically indicate a well-maintained and relatively new car, which can command a higher price in the used car market."
11,Maruti Ignis 1.2 Delta BSIV,2017,370000,40000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,450000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Ignis 1.2 Delta BSIV,
year: 2017,
km_driven: 40000,
fuel: Petrol,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 20.89 kmpl,
engine: 1197 CC,
max_power: 81.80 bhp,
torque: 113Nm@ 4200rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,"[
{""attribute"":""year"",""importance"":""0.30"",""value"":""2017""},
{""attribute"":""km_driven"",""importance"":""0.40"",""value"":""40000""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Petrol""},
{""attribute"":""transmission"",""importance"":""0.10"",""value"":""Manual""},
{""attribute"":""owner"",""importance"":""0.05"",""value"":""First Owner""}
]","I made the prediction based on the year, mileage, and condition of the car. The low mileage for a 2017 model and the fact that it is a first owner car positively influenced the predicted price."
12,Maruti Swift Dzire ZXI Plus,2018,795000,41779,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,650000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Swift Dzire ZXI Plus,
year: 2018,
km_driven: 41779,
fuel: Petrol,
seller_type: Dealer,
transmission: Manual,
owner: First Owner,
mileage: 21.21 kmpl,
engine: 1197 CC,
max_power: 81.80 bhp,
torque: 113Nm@ 4200rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.30"",""value"":""2018""},
{""attribute"":""km_driven"",""importance"":""0.25"",""value"":""41779""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Petrol""},
{""attribute"":""transmission"",""importance"":""0.20"",""value"":""Manual""},
{""attribute"":""owner"",""importance"":""0.10"",""value"":""First Owner""}
]","I made the prediction based on the year of the car, its mileage, engine size, and the fact that it is being sold by a dealer. These attributes are key factors that influence the selling price of a used car in the Indian market."
13,Tata Indica V2 GLX BSIII,2012,200000,30078,Petrol,Dealer,Manual,First Owner,15.3 kmpl,1396 CC,70 bhp,"12.4@ 2,600(kgm@ rpm)",5.0,150000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Tata Indica V2 GLX BSIII,
year: 2012,
km_driven: 30078,
fuel: Petrol,
seller_type: Dealer,
transmission: Manual,
owner: First Owner,
mileage: 15.3 kmpl,
engine: 1396 CC,
max_power: 70 bhp,
torque: 12.4@ 2,600(kgm@ rpm),
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,"[
{""attribute"":""year"",""importance"":""0.25"",""value"":""2012""},
{""attribute"":""km_driven"",""importance"":""0.20"",""value"":""30078""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Petrol""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Manual""},
{""attribute"":""owner"",""importance"":""0.10"",""value"":""First Owner""},
{""attribute"":""engine"",""importance"":""0.10"",""value"":""1396 CC""},
{""attribute"":""max_power"",""importance"":""0.05"",""value"":""70 bhp""}
]","I made the prediction based on the year of the car, its mileage, engine size, and power output. The attributes that had a high influence on the prediction were the year (2012) and the relatively low mileage (30078 km) for a car of that age."
14,Tata Hexa XE,2017,980000,53000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,900000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Tata Hexa XE,
year: 2017,
km_driven: 53000,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 17.6 kmpl,
engine: 2179 CC,
max_power: 147.94 bhp,
torque: 320Nm@ 1500-3000rpm,
seats: 7.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.25"",""value"":""2017""},
{""attribute"":""km_driven"",""importance"":""0.20"",""value"":""53000""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Diesel""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Manual""},
{""attribute"":""engine"",""importance"":""0.15"",""value"":""2179 CC""},
{""attribute"":""max_power"",""importance"":""0.10"",""value"":""147.94 bhp""}
]","I made the prediction based on the year, mileage, engine size, and the number of seats of the Tata Hexa XE. These attributes are crucial factors that significantly impact the selling price of a used car in the Indian market."
15,Hyundai Santro Xing GLS,2009,150000,90000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,150000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Hyundai Santro Xing GLS,
year: 2009,
km_driven: 90000,
fuel: Petrol,
seller_type: Individual,
transmission: Manual,
owner: First Owner,
mileage: 17.92 kmpl,
engine: 1086 CC,
max_power: 62.1 bhp,
torque: 96.1Nm@ 3000rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.30"",""value"":""2009""},
{""attribute"":""km_driven"",""importance"":""0.25"",""value"":""90000""},
{""attribute"":""fuel"",""importance"":""0.20"",""value"":""Petrol""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Manual""},
{""attribute"":""max_power"",""importance"":""0.10"",""value"":""62.1 bhp""}
]","I made the prediction based on the year of the car, the kilometers driven, and the model's popularity in the Indian market. The attributes that had a high influence on my decision were the year (2009) and the high mileage (90000 km), which typically lower the selling price of a used car."
16,Mahindra TUV 300 mHAWK100 T8,2017,725000,100000,Diesel,Individual,Manual,Second Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,650000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Mahindra TUV 300 mHAWK100 T8,
year: 2017,
km_driven: 100000,
fuel: Diesel,
seller_type: Individual,
transmission: Manual,
owner: Second Owner,
mileage: 18.49 kmpl,
engine: 1493 CC,
max_power: 100 bhp,
torque: 240Nm@ 1600-2800rpm,
seats: 7.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.15"",""value"":""2017""},
{""attribute"":""km_driven"",""importance"":""0.25"",""value"":""100000""},
{""attribute"":""fuel"",""importance"":""0.20"",""value"":""Diesel""},
{""attribute"":""owner"",""importance"":""0.10"",""value"":""Second Owner""},
{""attribute"":""mileage"",""importance"":""0.15"",""value"":""18.49 kmpl""},
{""attribute"":""engine"",""importance"":""0.15"",""value"":""1493 CC""}
]","The prediction was based on the year, kilometers driven, fuel type, and seller type of the car. These attributes are crucial in determining the depreciation and market value of a used car in India."
17,Maruti Swift ZXI BSIV,2018,730000,4773,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,550000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Maruti Swift ZXI BSIV,
year: 2018,
km_driven: 4773,
fuel: Petrol,
seller_type: Dealer,
transmission: Manual,
owner: First Owner,
mileage: 22.0 kmpl,
engine: 1197 CC,
max_power: 81.80 bhp,
torque: 113Nm@ 4200rpm,
seats: 5.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,error,"[
{""attribute"":""year"",""importance"":""0.30"",""value"":""2018""},
{""attribute"":""km_driven"",""importance"":""0.25"",""value"":""4773""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Petrol""},
{""attribute"":""transmission"",""importance"":""0.10"",""value"":""Manual""},
{""attribute"":""max_power"",""importance"":""0.10"",""value"":""81.80 bhp""},
{""attribute"":""engine"",""importance"":""0.10"",""value"":""1197 CC""}
]","The prediction was based on the year of the car, its low mileage, and the fact that it is being sold by a dealer. These attributes typically indicate a higher selling price for a used car in the Indian market."
18,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1850000,18890,Diesel,Dealer,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,2000000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Toyota Innova Crysta 2.8 ZX AT BSIV,
year: 2017,
km_driven: 18890,
fuel: Diesel,
seller_type: Dealer,
transmission: Automatic,
owner: First Owner,
mileage: 11.36 kmpl,
engine: 2755 CC,
max_power: 171.5 bhp,
torque: 360Nm@ 1200-3400rpm,
seats: 7.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.25"",""value"":""2017""},
{""attribute"":""km_driven"",""importance"":""0.20"",""value"":""18890""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Diesel""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Automatic""},
{""attribute"":""engine"",""importance"":""0.15"",""value"":""2755 CC""},
{""attribute"":""max_power"",""importance"":""0.10"",""value"":""171.5 bhp""}
]","I made the prediction based on the year, mileage, engine size, and the fact that it is a diesel automatic car. These attributes typically have a high influence on the selling price of a used car in the Indian market."
19,Isuzu MUX 2WD,2019,2700000,10000,Diesel,Individual,Automatic,First Owner,13.8 kmpl,2999 CC,174.57 bhp,380NM@ 1800-2800rpm,7.0,2500000,"System: Based on the provided attributes of a used car listed below, please predict its selling price in Indian Rupees in the Indian market. The predicted price should be expressed solely as a number followed by the currency ""INR"".
Ensure that the output contains no additional text or characters beyond this specified format.
Attributes:
name: Isuzu MUX 2WD,
year: 2019,
km_driven: 10000,
fuel: Diesel,
seller_type: Individual,
transmission: Automatic,
owner: First Owner,
mileage: 13.8 kmpl,
engine: 2999 CC,
max_power: 174.57 bhp,
torque: 380NM@ 1800-2800rpm,
seats: 7.0

Required Output:
""price"": <predicted price> INR

Please provide the prediction strictly adhering to the above instructions.",zero_shot,gpt-3.5-turbo,correct,"[
{""attribute"":""year"",""importance"":""0.25"",""value"":""2019""},
{""attribute"":""km_driven"",""importance"":""0.20"",""value"":""10000""},
{""attribute"":""fuel"",""importance"":""0.15"",""value"":""Diesel""},
{""attribute"":""transmission"",""importance"":""0.15"",""value"":""Automatic""},
{""attribute"":""engine"",""importance"":""0.15"",""value"":""2999 CC""},
{""attribute"":""max_power"",""importance"":""0.10"",""value"":""174.57 bhp""}
]","The predicted selling price of the Isuzu MUX 2WD in the Indian market was based on the year, mileage, engine size, and the fact that it is an automatic transmission diesel car with low mileage. These attributes typically command a higher price in the used car market due to the relatively new year, low mileage, and the popularity of diesel automatic vehicles in India."
